0,1,2,3,4
0.935,0.9055,0.956,0.9245,0.9375
0.9075,0.906,0.9325,0.9135,0.9055
0.9115,0.89,0.886,0.897,0.934
0.8385,0.8865,0.924,0.866,0.9045
0.8295,0.8685,0.926,0.8245,0.9395
0.8235,0.8405,0.954,0.8525,0.8885
0.8525,0.9265,0.979,0.8415,0.8265
0.873,0.863,0.981,0.8815,0.8805
0.7925,0.799,0.986,0.918,0.8915
0.8665,0.7165,0.9775,0.8755,0.9185
0.946,0.8765,0.965,0.854,0.981
0.966,0.8695,0.985,0.9,0.9575
0.982,0.878,0.963,0.9555,0.965
0.9595,0.945,0.932,0.937,0.9745
0.9855,0.8735,0.9735,0.9835,0.9855
0.9715,0.966,0.971,0.9605,0.9805
0.972,0.963,0.9635,0.9515,0.946
0.969,0.977,0.9305,0.9835,0.9485
0.9855,0.971,0.9885,0.969,0.964
0.9905,0.9755,0.974,0.975,0.984
0.978,0.7715,0.9515,0.9585,0.939
0.98,0.9665,0.9645,0.961,0.9715
0.979,0.9455,0.9555,0.938,0.961
0.9855,0.9775,0.968,0.964,0.93
0.914,0.9895,0.9785,0.9685,0.9725
0.968,0.9235,0.994,0.9805,0.9405
0.9735,0.9305,0.989,0.9515,0.9795
0.994,0.9815,0.9485,0.9785,0.955
0.9975,0.9625,0.9975,0.992,0.897
0.927,0.932,0.9415,0.996,0.944
0.9705,0.95,0.9555,0.9875,0.9255
0.989,0.9915,0.975,0.8905,0.9605
0.9375,0.929,0.972,0.971,0.9265
0.9655,0.993,0.964,0.9855,0.95
0.976,0.7315,0.9745,0.9615,0.968
0.9495,0.978,0.982,0.9695,0.955
0.984,0.962,0.978,0.996,0.938
0.9875,0.8845,0.926,0.887,0.9365
0.9615,0.93,0.9765,0.9485,0.942
0.747,0.979,0.9735,0.979,0.95
0.8395,0.7135,0.9595,0.9755,0.9165
0.945,0.967,0.9455,0.941,0.972
0.964,0.6685,0.9505,0.9805,0.944
0.9725,0.914,0.964,0.9165,0.951
0.9365,0.9425,0.9565,0.9975,0.996
0.9265,0.524,0.958,0.991,0.9665
0.9285,0.575,0.977,0.972,0.993
0.9455,0.5175,0.978,0.9705,0.9745
0.9995,0.526,0.9585,0.9595,0.9085
0.962,0.56,0.9755,0.9895,0.5135
